Input,Result,Assignment
cnf_434.cnf,UNSAT,
cnf_435.cnf,UNSAT,
cnf_436.cnf,UNSAT,
cnf_437.cnf,UNSAT,
cnf_438.cnf,SAT,
cnf_439.cnf,SAT,
cnf_44.cnf,SAT,
cnf_440.cnf,UNSAT,
cnf_441.cnf,UNSAT,
cnf_442.cnf,SAT,
cnf_443.cnf,UNSAT,
cnf_444.cnf,UNSAT,
cnf_445.cnf,SAT,
cnf_446.cnf,SAT,
cnf_447.cnf,UNSAT,
cnf_448.cnf,UNSAT,
cnf_449.cnf,UNSAT,
cnf_45.cnf,SAT,
cnf_450.cnf,UNSAT,
cnf_451.cnf,UNSAT,
cnf_452.cnf,UNSAT,
cnf_453.cnf,UNSAT,
cnf_454.cnf,UNSAT,
cnf_455.cnf,UNSAT,
cnf_456.cnf,UNSAT,
cnf_457.cnf,UNSAT,
cnf_458.cnf,UNSAT,
cnf_459.cnf,UNSAT,
cnf_46.cnf,UNSAT,
cnf_460.cnf,UNSAT,
cnf_461.cnf,UNSAT,
cnf_462.cnf,UNSAT,
cnf_463.cnf,SAT,
cnf_464.cnf,SAT,
cnf_465.cnf,UNSAT,
cnf_466.cnf,UNSAT,
cnf_467.cnf,UNSAT,
cnf_468.cnf,UNSAT,
cnf_469.cnf,UNSAT,
cnf_47.cnf,SAT,
cnf_470.cnf,UNSAT,
cnf_471.cnf,UNSAT,
cnf_472.cnf,UNSAT,
cnf_473.cnf,UNSAT,
cnf_474.cnf,UNSAT,
cnf_475.cnf,UNSAT,
cnf_476.cnf,UNSAT,
cnf_477.cnf,UNSAT,
cnf_478.cnf,UNSAT,
cnf_479.cnf,SAT,
cnf_48.cnf,UNSAT,
cnf_480.cnf,SAT,
cnf_481.cnf,UNSAT,
cnf_482.cnf,UNSAT,
cnf_483.cnf,UNSAT,
cnf_484.cnf,UNSAT,
cnf_485.cnf,UNSAT,
cnf_486.cnf,UNSAT,
cnf_487.cnf,SAT,
cnf_488.cnf,UNSAT,
cnf_489.cnf,UNSAT,
cnf_49.cnf,UNSAT,
cnf_490.cnf,UNSAT,
cnf_491.cnf,SAT,
cnf_492.cnf,UNSAT,
cnf_493.cnf,UNSAT,
cnf_494.cnf,UNSAT,
cnf_495.cnf,UNSAT,
cnf_496.cnf,UNSAT,
cnf_497.cnf,UNSAT,
cnf_498.cnf,UNSAT,
cnf_499.cnf,SAT,
cnf_5.cnf,UNSAT,
cnf_50.cnf,UNSAT,
cnf_500.cnf,UNSAT,
cnf_501.cnf,UNSAT,
cnf_502.cnf,UNSAT,
cnf_503.cnf,SAT,
cnf_504.cnf,UNSAT,
cnf_505.cnf,SAT,
cnf_506.cnf,UNSAT,
cnf_507.cnf,UNSAT,
cnf_508.cnf,UNSAT,
cnf_509.cnf,UNSAT,
cnf_51.cnf,UNSAT,
cnf_510.cnf,UNSAT,
cnf_511.cnf,UNSAT,
cnf_512.cnf,SAT,
cnf_513.cnf,SAT,
cnf_514.cnf,SAT,
cnf_515.cnf,UNSAT,
cnf_516.cnf,UNSAT,
cnf_517.cnf,SAT,
cnf_518.cnf,SAT,
cnf_519.cnf,UNSAT,
cnf_52.cnf,UNSAT,
cnf_520.cnf,UNSAT,
cnf_521.cnf,UNSAT,
cnf_522.cnf,UNSAT,
cnf_523.cnf,UNSAT,
cnf_524.cnf,SAT,
cnf_525.cnf,UNSAT,
cnf_526.cnf,UNSAT,
cnf_527.cnf,UNSAT,
cnf_528.cnf,SAT,
cnf_529.cnf,UNSAT,
cnf_53.cnf,UNSAT,
cnf_530.cnf,UNSAT,
cnf_531.cnf,UNSAT,
cnf_532.cnf,UNSAT,
cnf_533.cnf,UNSAT,
cnf_534.cnf,UNSAT,
cnf_535.cnf,UNSAT,
cnf_536.cnf,UNSAT,
cnf_537.cnf,UNSAT,
cnf_538.cnf,UNSAT,
cnf_539.cnf,UNSAT,
cnf_54.cnf,UNSAT,
cnf_540.cnf,SAT,
cnf_541.cnf,UNSAT,
cnf_542.cnf,UNSAT,
cnf_543.cnf,UNSAT,
cnf_544.cnf,SAT,
cnf_545.cnf,UNSAT,
cnf_546.cnf,UNSAT,
cnf_547.cnf,SAT,
cnf_548.cnf,SAT,
cnf_549.cnf,UNSAT,
cnf_55.cnf,UNSAT,
cnf_550.cnf,UNSAT,
cnf_551.cnf,UNSAT,
cnf_552.cnf,UNSAT,
cnf_553.cnf,UNSAT,
cnf_554.cnf,UNSAT,
cnf_555.cnf,SAT,
cnf_556.cnf,UNSAT,
cnf_557.cnf,UNSAT,
cnf_558.cnf,UNSAT,
cnf_559.cnf,UNSAT,
cnf_56.cnf,UNSAT,
cnf_560.cnf,UNSAT,
cnf_561.cnf,UNSAT,
cnf_562.cnf,SAT,
cnf_563.cnf,SAT,
cnf_564.cnf,SAT,
cnf_565.cnf,SAT,
cnf_566.cnf,UNSAT,
cnf_567.cnf,UNSAT,
cnf_568.cnf,UNSAT,
cnf_569.cnf,UNSAT,
cnf_57.cnf,UNSAT,
cnf_570.cnf,UNSAT,
cnf_571.cnf,UNSAT,
cnf_572.cnf,UNSAT,
cnf_573.cnf,SAT,
cnf_574.cnf,UNSAT,
cnf_575.cnf,UNSAT,
cnf_576.cnf,UNSAT,
cnf_577.cnf,SAT,
cnf_578.cnf,UNSAT,
cnf_579.cnf,UNSAT,
cnf_58.cnf,UNSAT,
cnf_580.cnf,UNSAT,
cnf_581.cnf,SAT,
cnf_582.cnf,UNSAT,
cnf_583.cnf,UNSAT,
cnf_584.cnf,SAT,
cnf_585.cnf,SAT,
cnf_586.cnf,UNSAT,
cnf_587.cnf,UNSAT,
cnf_588.cnf,SAT,
cnf_589.cnf,SAT,
cnf_59.cnf,UNSAT,
cnf_590.cnf,UNSAT,
cnf_591.cnf,UNSAT,
cnf_592.cnf,UNSAT,
cnf_593.cnf,UNSAT,
cnf_594.cnf,UNSAT,
cnf_595.cnf,UNSAT,
cnf_596.cnf,SAT,
cnf_597.cnf,UNSAT,
cnf_598.cnf,UNSAT,
cnf_599.cnf,UNSAT,
cnf_6.cnf,UNSAT,
cnf_60.cnf,UNSAT,
cnf_600.cnf,SAT,
cnf_601.cnf,UNSAT,
cnf_602.cnf,UNSAT,
cnf_603.cnf,UNSAT,
cnf_604.cnf,SAT,
cnf_605.cnf,UNSAT,
cnf_606.cnf,SAT,
cnf_607.cnf,UNSAT,
cnf_608.cnf,SAT,
cnf_609.cnf,SAT,
cnf_61.cnf,UNSAT,
cnf_610.cnf,UNSAT,
cnf_611.cnf,UNSAT,
cnf_612.cnf,UNSAT,
cnf_613.cnf,UNSAT,
cnf_614.cnf,SAT,
cnf_615.cnf,UNSAT,
cnf_616.cnf,UNSAT,
cnf_617.cnf,UNSAT,
cnf_618.cnf,UNSAT,
cnf_619.cnf,SAT,
cnf_62.cnf,SAT,
cnf_620.cnf,UNSAT,
cnf_621.cnf,UNSAT,
cnf_622.cnf,UNSAT,
cnf_623.cnf,SAT,
cnf_624.cnf,UNSAT,
cnf_625.cnf,SAT,
cnf_626.cnf,SAT,
cnf_627.cnf,SAT,
cnf_628.cnf,UNSAT,
cnf_629.cnf,UNSAT,
cnf_63.cnf,UNSAT,
cnf_630.cnf,UNSAT,
cnf_631.cnf,UNSAT,
cnf_632.cnf,UNSAT,
cnf_633.cnf,UNSAT,
cnf_634.cnf,UNSAT,
cnf_635.cnf,UNSAT,
cnf_636.cnf,UNSAT,
cnf_637.cnf,UNSAT,
cnf_638.cnf,SAT,
cnf_639.cnf,UNSAT,
cnf_64.cnf,UNSAT,
cnf_640.cnf,UNSAT,
cnf_641.cnf,SAT,
cnf_642.cnf,UNSAT,
cnf_643.cnf,UNSAT,
cnf_644.cnf,UNSAT,
cnf_645.cnf,SAT,
cnf_646.cnf,SAT,
cnf_647.cnf,UNSAT,
cnf_648.cnf,UNSAT,
cnf_649.cnf,SAT,
cnf_65.cnf,UNSAT,
cnf_650.cnf,UNSAT,
cnf_651.cnf,UNSAT,
cnf_652.cnf,UNSAT,
cnf_653.cnf,SAT,
cnf_654.cnf,UNSAT,
cnf_655.cnf,UNSAT,
cnf_656.cnf,UNSAT,
cnf_657.cnf,UNSAT,
cnf_658.cnf,UNSAT,
cnf_659.cnf,SAT,
cnf_66.cnf,UNSAT,
cnf_660.cnf,SAT,
cnf_661.cnf,UNSAT,
cnf_662.cnf,UNSAT,
cnf_663.cnf,SAT,
cnf_664.cnf,UNSAT,
cnf_665.cnf,UNSAT,
cnf_666.cnf,UNSAT,
cnf_667.cnf,UNSAT,
cnf_668.cnf,SAT,
cnf_669.cnf,UNSAT,
cnf_67.cnf,SAT,
cnf_670.cnf,UNSAT,
cnf_671.cnf,UNSAT,
cnf_672.cnf,UNSAT,
cnf_673.cnf,UNSAT,
cnf_674.cnf,SAT,
cnf_675.cnf,UNSAT,
cnf_676.cnf,UNSAT,
cnf_677.cnf,UNSAT,
cnf_678.cnf,SAT,
cnf_679.cnf,UNSAT,
